arquivo,tipo_entidade,nome,identificador,aux
doc_grupo2_106.txt,Empresa,Cardoso & Almeida Desenvolvimento de Software Holding Executiva,22.344.810/0001-62,
doc_grupo2_106.txt,Pessoa,Diego Cardoso Pereira,,5.316.902-2
doc_grupo2_106.txt,Pessoa,Letícia Dias Mendes,311.610.383-64,
doc_grupo2_106.txt,Pessoa,Lucas Cavalcanti Rocha,,1.479.880-4
doc_grupo2_106.txt,Pessoa,Maria Carvalho Pereira,596.491.812-97,
doc_grupo2_106.txt,Empresa,Araújo & Dias Desenvolvimento de Software S/A,54.310.848/0001-48,
doc_grupo2_106.txt,Pessoa,Lucas Gomes Ferreira,156.467.243-90,
doc_grupo2_106.txt,Pessoa,Carlos Melo Lima,,6.827.683-9
doc_grupo2_106.txt,Pessoa,Amanda Cardoso Oliveira,,7.146.487-5
doc_grupo2_106.txt,Pessoa,Beatriz Ferreira Cunha,443.312.770-27,
doc_grupo2_107.txt,Empresa,Cardoso & Lima Energia LTDA,79.349.740/0001-87,
doc_grupo2_107.txt,Pessoa,Larissa Marques Ferreira,,2.589.706-4
doc_grupo2_107.txt,Pessoa,Ricardo Carvalho Souza,326.949.953-42,
doc_grupo2_107.txt,Pessoa,Fernanda Pereira Silva,,6.738.483-6
doc_grupo2_107.txt,Pessoa,Gabriel Lima Lima,,6.771.737-1
doc_grupo2_107.txt,Empresa,Moreira & Melo Desenvolvimento de Software Consultoria Empresarial,94.513.800/0001-20,
doc_grupo2_107.txt,Pessoa,Carlos Lima Melo,131.572.652-99,
doc_grupo2_107.txt,Pessoa,Luiz Melo Araújo,,8.110.139-4
doc_grupo2_107.txt,Pessoa,Letícia Cavalcanti Ferreira,696.485.914-57,
doc_grupo2_107.txt,Empresa,Silva & Pereira Tecnologia LTDA,11.675.357/0001-51,
doc_grupo2_107.txt,Pessoa,Felipe Santos Nascimento,523.469.224-72,
doc_grupo2_107.txt,Pessoa,Carlos Cunha Martins,546.574.375-30,
doc_grupo2_107.txt,Pessoa,Ana Dias Teixeira,992.186.392-25,
doc_grupo2_107.txt,Empresa,Costa & Barbosa Energia Comércio e Indústria,82.870.543/0001-74,
doc_grupo2_107.txt,Pessoa,Bruno Almeida Marques,,9.902.636-3
doc_grupo2_107.txt,Pessoa,Ricardo Dias Melo,725.530.850-78,
doc_grupo2_107.txt,Pessoa,Patricia Gomes Ribeiro,,2.240.116-7
doc_grupo2_107.txt,Pessoa,Patricia Rodrigues Lima,,3.712.164-4
doc_grupo2_108.txt,Empresa,Almeida & Santos Infraestrutura Participações S.A.,10.336.198/0001-95,
doc_grupo2_108.txt,Pessoa,Beatriz Santos Araújo,,7.438.113-2
doc_grupo2_108.txt,Pessoa,Carlos Cardoso Rodrigues,945.733.532-74,
doc_grupo2_108.txt,Empresa,Ferreira & Martins Tecnologia Serviços Logísticos,82.936.179/0001-99,
doc_grupo2_108.txt,Pessoa,Ricardo Dias Marques,159.520.292-85,
doc_grupo2_108.txt,Pessoa,Mariana Melo Rocha,,7.122.159-7
doc_grupo2_108.txt,Empresa,Melo & Marques Desenvolvimento de Software Empreendimentos Imobiliários,19.987.921/0001-35,
doc_grupo2_108.txt,Pessoa,Mariana Teixeira Cunha,349.495.569-14,
doc_grupo2_108.txt,Pessoa,Mariana Gomes Almeida,485.802.115-71,
doc_grupo2_108.txt,Pessoa,Ricardo Melo Melo,,9.914.921-7
doc_grupo2_108.txt,Empresa,Marques & Ferreira Energia Empreendimentos Imobiliários,27.845.605/0001-10,
doc_grupo2_108.txt,Pessoa,Aline Lima Moreira,682.261.503-67,
doc_grupo2_108.txt,Pessoa,Beatriz Marques Silva,660.583.837-90,
doc_grupo2_108.txt,Pessoa,Bruno Martins Costa,,1.585.173-0
doc_grupo2_109.txt,Empresa,Cavalcanti & Cunha Energia S/A,91.762.397/0001-68,
doc_grupo2_109.txt,Pessoa,Gabriel Martins Nascimento,619.247.969-75,
doc_grupo2_109.txt,Pessoa,Diego Cunha Ribeiro,510.816.593-52,
doc_grupo2_109.txt,Pessoa,Gustavo Marques Lima,760.938.485-17,
doc_grupo2_109.txt,Pessoa,Bruno Silva Ferreira,,7.935.526-9
doc_grupo2_109.txt,Empresa,Rodrigues & Mendes Transportes Consultoria Empresarial,31.889.821/0001-24,
doc_grupo2_109.txt,Pessoa,Pedro Cavalcanti Nascimento,786.511.527-30,
doc_grupo2_109.txt,Pessoa,Fernanda Melo Pinto,763.266.538-66,
doc_grupo2_109.txt,Pessoa,Pedro Pinto Almeida,,2.776.878-2
doc_grupo2_109.txt,Empresa,Mendes & Pereira Infraestrutura Consultoria Empresarial,61.105.785/0001-84,
doc_grupo2_109.txt,Pessoa,Rodrigo Pinto Cunha,861.750.270-77,
doc_grupo2_109.txt,Pessoa,Luiz Marques Silva,481.255.352-79,
doc_grupo2_109.txt,Pessoa,Maria Gomes Mendes,805.371.998-61,
doc_grupo2_109.txt,Pessoa,Maria Santos Dias,,4.396.132-1
doc_grupo2_110.txt,Empresa,Marques & Marques Saúde Serviços Logísticos,68.784.482/0001-25,
doc_grupo2_110.txt,Pessoa,Diego Costa Carvalho,419.398.275-51,
doc_grupo2_110.txt,Pessoa,Juliana Carvalho Araújo,831.530.906-62,
doc_grupo2_110.txt,Pessoa,Pedro Martins Almeida,426.624.348-20,
doc_grupo2_110.txt,Pessoa,Sofia Pinto Pinto,,7.326.282-2
doc_grupo2_110.txt,Empresa,Souza & Cardoso Agronegócios S/A,38.519.919/0001-59,
doc_grupo2_110.txt,Pessoa,Ana Martins Cardoso,,8.976.904-8
doc_grupo2_110.txt,Pessoa,Letícia Carvalho Cavalcanti,363.833.184-45,
doc_grupo2_110.txt,Pessoa,Felipe Pereira Martins,297.474.750-80,
doc_grupo2_111.txt,Empresa,Martins & Nascimento Desenvolvimento de Software LTDA,70.187.385/0001-54,
doc_grupo2_111.txt,Pessoa,Larissa Melo Santos,923.943.244-30,
doc_grupo2_111.txt,Pessoa,Gustavo Pinto Silva,,7.750.801-8
doc_grupo2_111.txt,Pessoa,João Souza Ribeiro,498.883.720-35,
doc_grupo2_111.txt,Empresa,Cavalcanti & Pinto Saúde Empreendimentos Imobiliários,80.630.201/0001-42,
doc_grupo2_111.txt,Pessoa,Camila Martins Souza,416.535.937-66,
doc_grupo2_111.txt,Pessoa,Juliana Nascimento Cavalcanti,,7.341.608-5
doc_grupo2_111.txt,Pessoa,Diego Gomes Cardoso,100.217.877-53,
doc_grupo2_111.txt,Pessoa,Rodrigo Oliveira Barbosa,853.130.239-96,
doc_grupo2_112.txt,Empresa,Ribeiro & Melo Alimentos Comércio e Indústria,46.567.653/0001-93,
doc_grupo2_112.txt,Pessoa,Patricia Pereira Ribeiro,279.283.479-20,
doc_grupo2_112.txt,Pessoa,Sofia Santos Santos,940.108.642-68,
doc_grupo2_112.txt,Pessoa,Roberto Oliveira Silva,470.727.675-49,
doc_grupo2_112.txt,Empresa,Carvalho & Cunha Alimentos Empreendimentos Imobiliários,92.314.255/0001-65,
doc_grupo2_112.txt,Pessoa,Aline Marques Mendes,165.405.116-63,
doc_grupo2_112.txt,Pessoa,Ricardo Almeida Melo,,6.192.160-6
doc_grupo2_112.txt,Pessoa,Amanda Cardoso Cardoso,,1.575.496-5
doc_grupo2_112.txt,Pessoa,Sofia Dias Carvalho,468.777.934-87,
doc_grupo2_112.txt,Empresa,Souza & Almeida Investimentos S/A,70.344.591/0001-66,
doc_grupo2_112.txt,Pessoa,Gabriel Dias Pinto,156.922.527-29,
doc_grupo2_112.txt,Pessoa,Beatriz Costa Silva,363.937.404-87,
doc_grupo2_112.txt,Pessoa,Pedro Oliveira Cardoso,,1.532.280-4
doc_grupo2_112.txt,Empresa,Rodrigues & Barbosa Saúde Participações S.A.,33.906.661/0001-31,
doc_grupo2_112.txt,Pessoa,Juliana Martins Nascimento,470.459.179-73,
doc_grupo2_112.txt,Pessoa,Maria Pereira Ribeiro,321.361.553-93,
doc_grupo2_112.txt,Pessoa,Maria Marques Silva,556.635.173-75,
doc_grupo2_112.txt,Empresa,Pinto & Rocha Agronegócios Empreendimentos Imobiliários,40.840.928/0001-18,
doc_grupo2_112.txt,Pessoa,Sofia Moreira Rodrigues,,5.763.903-8
doc_grupo2_112.txt,Pessoa,Beatriz Pinto Santos,584.212.764-90,
doc_grupo2_112.txt,Pessoa,Letícia Rocha Lima,219.525.694-92,
doc_grupo2_113.txt,Empresa,Cunha & Cardoso Saúde S/A,41.749.122/0001-85,
doc_grupo2_113.txt,Pessoa,Luiz Costa Silva,,3.141.121-1
doc_grupo2_113.txt,Pessoa,Diego Oliveira Barbosa,,8.180.680-9
doc_grupo2_113.txt,Pessoa,Luiz Gomes Dias,829.498.999-91,
doc_grupo2_113.txt,Empresa,Ferreira & Carvalho Investimentos S/A,41.503.215/0001-79,
doc_grupo2_113.txt,Pessoa,Rodrigo Nascimento Almeida,219.667.547-16,
doc_grupo2_113.txt,Pessoa,Camila Cardoso Pinto,950.911.677-96,
doc_grupo2_113.txt,Pessoa,Beatriz Marques Melo,887.728.596-60,
doc_grupo2_113.txt,Empresa,Silva & Marques Desenvolvimento de Software Comércio e Indústria,34.200.366/0001-51,
doc_grupo2_113.txt,Pessoa,Bruno Cavalcanti Marques,525.729.324-65,
doc_grupo2_113.txt,Pessoa,Beatriz Silva Souza,958.699.146-81,
doc_grupo2_113.txt,Pessoa,Pedro Cardoso Ferreira,,2.347.368-5
doc_grupo2_113.txt,Pessoa,João Ribeiro Carvalho,716.991.338-62,
doc_grupo2_113.txt,Empresa,Ribeiro & Mendes Energia Empreendimentos Imobiliários,18.929.349/0001-16,
doc_grupo2_113.txt,Pessoa,Sofia Pinto Cunha,481.532.856-17,
doc_grupo2_113.txt,Pessoa,Luiz Ribeiro Barbosa,752.828.489-36,
doc_grupo2_113.txt,Pessoa,Diego Rocha Ferreira,193.429.434-20,
doc_grupo2_113.txt,Pessoa,Beatriz Gomes Martins,,9.674.688-5
doc_grupo2_114.txt,Empresa,Souza & Carvalho Investimentos Comércio e Indústria,71.639.333/0001-42,
doc_grupo2_114.txt,Pessoa,Pedro Nascimento Teixeira,,7.565.396-9
doc_grupo2_114.txt,Pessoa,Aline Nascimento Ferreira,,9.362.179-2
doc_grupo2_114.txt,Pessoa,Gustavo Cunha Santos,473.531.794-43,
doc_grupo2_114.txt,Empresa,Rodrigues & Marques Saúde Consultoria Empresarial,31.395.832/0001-13,
doc_grupo2_114.txt,Pessoa,Patricia Silva Ribeiro,410.303.747-71,
doc_grupo2_114.txt,Pessoa,Rodrigo Cavalcanti Ferreira,,8.202.160-4
doc_grupo2_114.txt,Pessoa,Letícia Gomes Costa,,8.703.108-0
doc_grupo2_115.txt,Empresa,Moreira & Santos Saúde Comércio e Indústria,19.913.789/0001-45,
doc_grupo2_115.txt,Pessoa,João Santos Oliveira,,5.298.628-9
doc_grupo2_115.txt,Pessoa,Larissa Martins Gomes,261.115.792-32,
doc_grupo2_115.txt,Pessoa,Amanda Oliveira Dias,,6.103.167-8
doc_grupo2_115.txt,Pessoa,Mariana Oliveira Rocha,656.913.124-18,
doc_grupo2_115.txt,Empresa,Lima & Oliveira Investimentos S/A,68.721.143/0001-99,
doc_grupo2_115.txt,Pessoa,Amanda Mendes Martins,575.438.605-51,
doc_grupo2_115.txt,Pessoa,Patricia Pereira Melo,,9.739.237-6
doc_grupo2_115.txt,Pessoa,Fernanda Araújo Barbosa,,2.393.828-1
doc_grupo2_115.txt,Pessoa,Patricia Ferreira Mendes,409.321.993-42,
doc_grupo2_115.txt,Empresa,Silva & Gomes Tecnologia Participações S.A.,79.601.734/0001-34,
doc_grupo2_115.txt,Pessoa,Gabriel Oliveira Santos,,4.273.851-8
doc_grupo2_115.txt,Pessoa,Ricardo Silva Barbosa,,2.741.827-1
doc_grupo2_115.txt,Pessoa,Aline Mendes Pinto,307.710.125-52,
doc_grupo2_115.txt,Pessoa,João Pinto Souza,639.203.410-14,
doc_grupo2_116.txt,Empresa,Melo & Rodrigues Têxtil Comércio e Indústria,31.496.763/0001-95,
doc_grupo2_116.txt,Pessoa,Ana Souza Cavalcanti,,2.670.637-4
doc_grupo2_116.txt,Pessoa,Fernanda Costa Carvalho,,5.816.438-1
doc_grupo2_116.txt,Empresa,Melo & Pinto Construções Empreendimentos Imobiliários,38.629.831/0001-56,
doc_grupo2_116.txt,Pessoa,Carlos Lima Nascimento,,7.729.475-1
doc_grupo2_116.txt,Pessoa,Amanda Marques Carvalho,,6.770.197-9
doc_grupo2_116.txt,Pessoa,Fernanda Araújo Cavalcanti,294.374.447-60,
doc_grupo2_116.txt,Empresa,Nascimento & Barbosa Tecnologia Empreendimentos Imobiliários,39.123.171/0001-75,
doc_grupo2_116.txt,Pessoa,João Teixeira Ribeiro,,3.173.871-2
doc_grupo2_116.txt,Pessoa,Felipe Oliveira Santos,,9.101.250-2
doc_grupo2_116.txt,Empresa,Nascimento & Nascimento Energia Holding Executiva,83.594.819/0001-73,
doc_grupo2_116.txt,Pessoa,Patricia Teixeira Lima,466.603.350-36,
doc_grupo2_116.txt,Pessoa,Letícia Lima Araújo,862.404.940-18,
doc_grupo2_116.txt,Pessoa,Maria Nascimento Marques,,2.165.841-7
doc_grupo2_116.txt,Empresa,Araújo & Lima Têxtil Consultoria Empresarial,64.396.934/0001-16,
doc_grupo2_116.txt,Pessoa,Amanda Martins Gomes,,8.549.663-7
doc_grupo2_116.txt,Pessoa,Ricardo Santos Santos,557.725.839-98,
doc_grupo2_116.txt,Pessoa,Diego Martins Barbosa,,2.425.398-8
doc_grupo2_116.txt,Pessoa,Aline Pinto Cavalcanti,,8.132.557-6
doc_grupo2_117.txt,Empresa,Moreira & Rodrigues Agronegócios Consultoria Empresarial,47.191.457/0001-87,
doc_grupo2_117.txt,Pessoa,Maria Moreira Marques,792.187.704-74,
doc_grupo2_117.txt,Pessoa,Lucas Ribeiro Gomes,418.304.813-24,
doc_grupo2_117.txt,Pessoa,Patricia Dias Cardoso,730.424.335-33,
doc_grupo2_117.txt,Pessoa,Pedro Carvalho Ferreira,,8.192.644-7
doc_grupo2_117.txt,Empresa,Pinto & Cavalcanti Investimentos S/A,86.120.909/0001-87,
doc_grupo2_117.txt,Pessoa,Aline Pinto Cunha,393.967.234-70,
doc_grupo2_117.txt,Pessoa,Patricia Cavalcanti Pinto,,1.930.362-2
doc_grupo2_117.txt,Empresa,Carvalho & Moreira Alimentos Participações S.A.,29.843.623/0001-56,
doc_grupo2_117.txt,Pessoa,Carlos Martins Cavalcanti,474.606.765-54,
doc_grupo2_117.txt,Pessoa,Bruno Marques Cavalcanti,847.978.401-49,
doc_grupo2_117.txt,Pessoa,Diego Ferreira Barbosa,387.649.823-72,
doc_grupo2_117.txt,Empresa,Ferreira & Lima Construções Serviços Logísticos,11.283.343/0001-13,
doc_grupo2_117.txt,Pessoa,Gustavo Araújo Ferreira,,6.799.361-9
doc_grupo2_117.txt,Pessoa,Ricardo Silva Ferreira,,1.482.407-8
doc_grupo2_118.txt,Empresa,Lima & Costa Agronegócios Participações S.A.,10.483.368/0001-77,
doc_grupo2_118.txt,Pessoa,Gustavo Ribeiro Ferreira,,7.180.867-0
doc_grupo2_118.txt,Pessoa,João Rodrigues Nascimento,,4.293.860-5
doc_grupo2_118.txt,Empresa,Carvalho & Ribeiro Tecnologia Serviços Logísticos,10.540.669/0001-28,
doc_grupo2_118.txt,Pessoa,Sofia Cunha Oliveira,631.985.787-73,
doc_grupo2_118.txt,Pessoa,Letícia Ribeiro Santos,,5.874.682-2
doc_grupo2_118.txt,Pessoa,Larissa Ribeiro Costa,295.276.195-98,
doc_grupo2_118.txt,Empresa,Carvalho & Ribeiro Agronegócios Participações S.A.,95.920.677/0001-30,
doc_grupo2_118.txt,Pessoa,Pedro Silva Araújo,,3.826.483-8
doc_grupo2_118.txt,Pessoa,Beatriz Nascimento Dias,327.549.668-32,
doc_grupo2_118.txt,Pessoa,Pedro Ribeiro Rodrigues,987.747.339-82,
doc_grupo2_118.txt,Pessoa,Aline Araújo Pereira,229.415.249-73,
doc_grupo2_118.txt,Empresa,Cunha & Almeida Desenvolvimento de Software Participações S.A.,51.698.783/0001-14,
doc_grupo2_118.txt,Pessoa,Amanda Almeida Barbosa,,7.546.235-8
doc_grupo2_118.txt,Pessoa,Camila Moreira Martins,647.433.568-89,
doc_grupo2_119.txt,Empresa,Ribeiro & Costa Construções Consultoria Empresarial,36.993.944/0001-10,
doc_grupo2_119.txt,Pessoa,Patricia Gomes Pereira,157.391.780-56,
doc_grupo2_119.txt,Pessoa,Lucas Souza Costa,,5.853.859-9
doc_grupo2_119.txt,Pessoa,Lucas Ribeiro Araújo,,4.530.368-0
doc_grupo2_119.txt,Pessoa,Lucas Araújo Barbosa,,2.102.415-1
doc_grupo2_119.txt,Empresa,Cunha & Cunha Alimentos Empreendimentos Imobiliários,60.534.148/0001-98,
doc_grupo2_119.txt,Pessoa,Beatriz Almeida Oliveira,,2.123.687-0
doc_grupo2_119.txt,Pessoa,Letícia Moreira Nascimento,302.460.983-46,
doc_grupo2_119.txt,Empresa,Rocha & Rodrigues Saúde Empreendimentos Imobiliários,84.509.717/0001-73,
doc_grupo2_119.txt,Pessoa,Juliana Melo Rodrigues,268.522.746-66,
doc_grupo2_119.txt,Pessoa,Bruno Pinto Cardoso,304.845.675-87,
doc_grupo2_120.txt,Empresa,Souza & Lima Alimentos Comércio e Indústria,67.446.539/0001-97,
doc_grupo2_120.txt,Pessoa,Mariana Cavalcanti Silva,,3.720.390-2
doc_grupo2_120.txt,Pessoa,Mariana Costa Pinto,266.186.722-89,
doc_grupo2_120.txt,Empresa,Gomes & Araújo Construções LTDA,51.971.315/0001-93,
doc_grupo2_120.txt,Pessoa,Felipe Mendes Cavalcanti,,9.504.638-8
doc_grupo2_120.txt,Pessoa,Mariana Dias Dias,,6.578.327-3
doc_grupo2_120.txt,Pessoa,Carlos Santos Lima,,4.107.735-5
doc_grupo2_121.txt,Empresa,Almeida & Marques Desenvolvimento de Software Consultoria Empresarial,58.220.519/0001-84,
doc_grupo2_121.txt,Pessoa,Patricia Costa Rocha,691.693.231-28,
doc_grupo2_121.txt,Pessoa,Roberto Lima Silva,588.662.834-16,
doc_grupo2_121.txt,Empresa,Cardoso & Nascimento Tecnologia S/A,15.172.630/0001-86,
doc_grupo2_121.txt,Pessoa,Aline Rodrigues Barbosa,,8.174.657-0
doc_grupo2_121.txt,Pessoa,Beatriz Nascimento Souza,,7.438.204-9
doc_grupo2_121.txt,Empresa,Cardoso & Araújo Desenvolvimento de Software LTDA,51.309.223/0001-68,
doc_grupo2_121.txt,Pessoa,Ricardo Nascimento Cardoso,,3.835.644-1
doc_grupo2_121.txt,Pessoa,Luiz Lima Pinto,534.799.732-99,
doc_grupo2_121.txt,Pessoa,Lucas Carvalho Santos,,5.409.593-8
doc_grupo2_122.txt,Empresa,Rocha & Silva Construções S/A,25.791.739/0001-77,
doc_grupo2_122.txt,Pessoa,Letícia Oliveira Lima,705.180.742-65,
doc_grupo2_122.txt,Pessoa,Diego Araújo Carvalho,858.499.913-25,
doc_grupo2_122.txt,Pessoa,Juliana Oliveira Mendes,755.215.839-98,
doc_grupo2_122.txt,Empresa,Cavalcanti & Ferreira Alimentos Holding Executiva,52.323.932/0001-91,
doc_grupo2_122.txt,Pessoa,Luiz Nascimento Silva,353.536.409-24,
doc_grupo2_122.txt,Pessoa,Roberto Ribeiro Almeida,,1.534.975-7
doc_grupo2_122.txt,Empresa,Marques & Marques Energia LTDA,34.439.786/0001-67,
doc_grupo2_122.txt,Pessoa,Larissa Moreira Barbosa,697.907.309-15,
doc_grupo2_122.txt,Pessoa,Larissa Rocha Araújo,174.789.280-21,
doc_grupo2_123.txt,Empresa,Oliveira & Dias Saúde Empreendimentos Imobiliários,18.848.506/0001-25,
doc_grupo2_123.txt,Pessoa,Felipe Moreira Barbosa,328.816.179-12,
doc_grupo2_123.txt,Pessoa,Pedro Rocha Ferreira,,8.355.406-1
doc_grupo2_123.txt,Empresa,Santos & Ferreira Agronegócios Participações S.A.,10.932.288/0001-90,
doc_grupo2_123.txt,Pessoa,Pedro Mendes Pinto,,3.735.425-4
doc_grupo2_123.txt,Pessoa,Juliana Silva Santos,,2.534.842-2
doc_grupo2_123.txt,Pessoa,Sofia Martins Marques,,8.923.877-3
doc_grupo2_123.txt,Empresa,Marques & Almeida Energia Empreendimentos Imobiliários,17.756.992/0001-97,
doc_grupo2_123.txt,Pessoa,Larissa Rodrigues Almeida,,2.615.339-6
doc_grupo2_123.txt,Pessoa,Pedro Rocha Ferreira,154.983.666-38,
doc_grupo2_123.txt,Pessoa,Amanda Marques Rocha,459.133.969-65,
